"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Map2k2",4.287016111,6.433677927,7.404722248,5.729123046,5.562952929,5.703887982,5.255815231,4.974980182,6.67410195,6.741314872
"Zbtb7a",4.724246939,5.121070181,4.42624646,5.489186788,5.797739782,3.157362133,4.679067182,4.450812156,4.156841214,4.399668564
"Dapk3",3.510472285,6.207454286,1.048723389,0.77851271,0.633812543,1.335316621,5.770489279,5.856313836,0.559995874,0.445209905
"Snord37",3.999267257,20.47568008,5.102614642,7.064975118,1.026554754,4.204349975,4.201328373,15.64826679,1.627519943,3.319033921
"Pias4",1.363756137,3.178214444,4.10529913,3.329956344,2.459211898,1.684264092,2.065218404,1.428442406,2.426023996,3.119650634
"Matk",2.802209235,2.043576647,2.884453775,1.991820422,3.115650923,0.720139196,0.665918535,0.321524674,1.282169291,0.697934047
"Eef2",273.8366718,395.3439285,254.2602383,196.9485824,215.0162201,221.2781586,235.7631596,300.148249,217.1801663,234.5722133
"Tjp3",0.111435365,1.055486485,1.344776154,0.441700322,0.626901392,0.615036339,0.769462336,0.693326402,0.594073565,0.401453266
"Mrpl54",22.45061209,25.89040088,29.01187774,20.06427497,21.92940249,22.0800906,21.93312742,27.93385787,28.06072908,25.60281203
"Mir3057",0,1.44004783,2.392434704,1.242193427,0.240657525,2.464087898,1.231158497,0.511877881,0.228925882,0.42441193
"Mfsd12",0.805805423,0.615090836,0.690396126,0.106116169,0.531512876,0.626360706,0.682345108,0.439945414,0.486523191,0.139276107
"Pip5k1c",3.466278391,6.954651043,7.601487187,5.273033149,6.263234367,6.466043603,5.389612713,5.316681174,3.153644507,3.928493272
"Smim24",5.529985946,1.753226464,2.807382175,1.930650758,1.168863939,2.096789398,2.688467458,1.969046896,2.704101452,1.90468898
"4930404N11Rik",1.228574901,1.342211853,0.672926634,0.345284602,0.302615898,0.872466322,1.344425079,0.643663168,0.212110235,0.105331324
"Hmg20b",2.655953712,3.128549659,3.879813464,1.866568657,2.919648622,3.100704155,2.694106953,3.656699468,1.654174115,2.173710955
"Apba3",4.836524386,6.107204594,7.659900849,7.206342045,5.343462146,3.684295445,4.248329077,5.438264863,5.212205747,4.026782858
"Fzr1",6.928116565,11.48081402,10.55356556,7.627300018,9.361978973,6.527257611,7.078415356,6.639528653,5.454170776,5.775160743
"Dohh",3.010579765,6.332065073,11.22894746,7.549707884,9.904509592,7.13279693,6.266947131,5.808733934,7.254636489,9.718991547
